Date,Open,High,Low,Close,Adj Close,Volume
2020-07-06,6.556469,6.771896,6.556469,6.640767,5.821406,3367187
2020-07-07,6.640767,6.650133,6.415974,6.472172,5.673612,1664854
2020-07-08,6.472172,6.537737,6.294211,6.331676,5.550451,1796857
2020-07-09,6.331676,6.350409,6.172448,6.228646,5.460134,2025103
2020-07-10,6.275478,6.275478,6.041318,6.060051,5.312340,996956
2020-07-13,6.013219,6.060051,5.947654,6.041318,5.295918,1120190
2020-07-14,6.041318,6.060051,5.975754,5.994486,5.254865,565458
2020-07-15,6.013219,6.078784,5.985120,6.003853,5.263076,566976
2020-07-16,6.078784,6.125616,5.985120,6.003853,5.263076,625914
2020-07-17,6.022585,6.022585,5.910189,5.910189,5.180969,455078
2020-07-20,5.928922,6.078784,5.779059,6.022585,5.279497,995710
2020-07-21,6.041318,6.106883,6.041318,6.060051,5.312340,779793
2020-07-22,6.088150,6.088150,5.910189,5.985120,5.246655,556169
2020-07-23,5.985120,5.985120,5.900822,5.947654,5.213811,464046
2020-07-24,5.863357,6.041318,5.713495,5.732228,5.024965,904165
2020-07-27,5.722861,5.807159,5.572999,5.601098,4.910015,879298
2020-07-28,5.601098,5.619831,5.357572,5.432503,4.762221,906046
2020-07-29,5.348206,5.526167,5.348206,5.498068,4.819696,357432
2020-07-30,5.498068,5.526167,5.432503,5.498068,4.819696,365295
2020-07-31,5.498068,5.572999,5.451236,5.479335,4.803275,335471
2020-08-03,5.498068,5.591732,5.498068,5.516801,4.836119,393628
2020-08-04,5.544900,5.713495,5.544900,5.572999,4.885383,463329
2020-08-05,5.572999,5.647930,5.572999,5.591732,4.901804,433546
2020-08-06,5.619831,5.750960,5.619831,5.638564,4.942858,351346
2020-08-07,5.647930,5.732228,5.647930,5.666663,4.967490,415081
2020-08-10,5.704128,6.041318,5.704128,5.966387,5.230233,1894274
2020-08-11,6.022585,6.106883,5.900822,5.919555,5.189179,1860289
2020-08-12,5.919555,5.957021,5.750960,5.779059,5.066018,718531
2020-08-13,5.788426,5.900822,5.760327,5.779059,5.066018,618362
2020-08-14,5.807159,6.050685,5.797792,5.994486,5.254865,1969581
2020-08-17,6.013219,6.153715,6.003853,6.013219,5.271286,2088691
2020-08-18,6.078784,6.078784,5.807159,5.975754,5.238444,635053
2020-08-19,5.966387,6.088150,5.863357,5.863357,5.139915,1895272
2020-08-20,5.966387,5.966387,5.582365,5.638564,4.942858,1212338
2020-08-21,5.741594,5.807159,5.657296,5.722861,5.016754,531988
2020-08-24,5.741594,5.760327,5.647930,5.732228,5.024965,298361
2020-08-25,5.741594,6.003853,5.694762,5.975754,5.238444,1616969
2020-08-26,5.994486,6.163081,5.910189,6.050685,5.304130,3470858
2020-08-27,6.153715,6.153715,5.910189,5.938288,5.205601,852923
2020-08-28,5.947654,6.031952,5.928922,5.947654,5.213811,472749
2020-08-31,5.994486,6.537737,5.994486,6.537737,5.731088,4732745
2020-09-01,6.865560,7.024789,6.603301,6.837461,5.993831,10723231
2020-09-02,6.818728,6.818728,6.584569,6.659500,5.837827,3204799
2020-09-03,6.687599,6.771896,6.612668,6.631401,5.813195,2143399
2020-09-04,6.547103,6.622034,6.444073,6.500271,5.698244,1907204
2020-09-07,6.509638,7.146552,6.509638,7.146552,6.264785,7583878
2020-09-08,7.586772,7.811565,7.174651,7.352612,6.445421,10252161
2020-09-09,7.296414,7.474375,7.024789,7.418177,6.502896,3298728
2020-09-10,7.614871,7.614871,7.193384,7.193384,6.305839,2791973
2020-09-11,7.212116,7.361979,6.762530,6.771896,5.936355,3593568
2020-09-14,7.080987,7.090353,6.556469,6.603301,5.788562,3128892
2020-09-15,6.603301,6.715698,6.603301,6.687599,5.862460,1284848
2020-09-16,6.837461,6.837461,6.593935,6.622034,5.804984,912128
2020-09-17,6.622034,6.884293,6.622034,6.668866,5.846038,1961293
2020-09-18,6.696965,6.762530,6.659500,6.659500,5.837827,724722
2020-09-21,6.696965,6.706332,6.603301,6.603301,5.788562,894422
2020-09-22,6.603301,6.603301,6.369142,6.481538,5.681823,1419655
2020-09-23,6.481538,6.537737,6.275478,6.341043,5.558662,1434507
2020-09-24,6.331676,6.378508,6.153715,6.153715,5.394448,1511745
2020-09-25,6.191180,6.537737,6.106883,6.238012,5.468344,2677283
2020-09-28,6.284844,6.453439,6.256745,6.256745,5.484766,1434329
2020-09-29,6.322310,6.453439,6.266112,6.322310,5.542241,719360
2020-09-30,6.303577,6.369142,6.275478,6.303577,5.525819,396835
2020-10-05,6.415974,6.612668,6.387875,6.490905,5.690034,1177282
2020-10-06,6.556469,6.584569,6.434706,6.444073,5.648981,616161
2020-10-07,6.444073,6.556469,6.444073,6.509638,5.706456,446145
2020-10-08,6.509638,6.593935,6.415974,6.425340,5.632559,515156
2020-10-12,6.434706,6.584569,6.181814,6.181814,5.419080,5870737
2020-10-13,6.228646,6.350409,6.181814,6.275478,5.501187,734521
2020-10-14,6.322310,6.425340,6.275478,6.284844,5.509398,837547
2020-10-15,6.284844,6.350409,6.219280,6.219280,5.451923,707397
2020-10-16,6.228646,6.322310,6.191180,6.209913,5.443712,514896
2020-10-19,6.219280,6.425340,6.191180,6.350409,5.566873,939594
2020-10-20,6.378508,6.378508,6.275478,6.294211,5.517609,301443
2020-10-21,6.303577,6.397241,6.294211,6.378508,5.591505,447193
2020-10-22,6.434706,6.500271,6.331676,6.350409,5.566873,606972
2020-10-23,6.406607,6.490905,6.359775,6.397241,5.607927,561050
2020-10-26,6.481538,7.024789,6.425340,6.921759,6.067728,6897430
2020-10-27,6.884293,6.884293,6.696965,6.734431,5.903512,1956486
2020-10-28,6.753164,6.828095,6.528370,6.547103,5.739298,1616287
2020-10-29,6.462806,6.743797,6.312943,6.706332,5.878881,4819759
2020-10-30,6.650133,6.725064,6.490905,6.500271,5.698244,1050764
2020-11-02,6.687599,6.687599,6.472172,6.472172,5.673612,976373
2020-11-03,6.575202,6.678232,6.490905,6.509638,5.706456,7777675
2020-11-04,6.650133,6.650133,6.462806,6.584569,5.772141,1132214
2020-11-05,6.603301,6.912392,6.556469,6.734431,5.903512,25411117
2020-11-06,6.743797,6.837461,6.715698,6.725064,5.895302,1863887
2020-11-09,6.743797,7.006056,6.743797,6.828095,5.985620,3739536
2020-11-10,6.977957,7.502474,6.743797,6.743797,5.911723,20874192
2020-11-11,6.846827,6.903026,6.650133,6.725064,5.895302,4058960
2020-11-12,6.725064,6.828095,6.528370,6.631401,5.813195,3000423
2020-11-13,6.668866,6.668866,6.537737,6.640767,5.821406,1022836
2020-11-16,6.668866,6.696965,6.565836,6.575202,5.763930,1233444
2020-11-17,6.593935,6.622034,6.519004,6.612668,5.796774,1285566
2020-11-18,6.631401,6.790629,6.575202,6.734431,5.903512,1777646
2020-11-19,6.743797,6.846827,6.678232,6.715698,5.887091,1404848
2020-11-20,6.781263,6.790629,6.622034,6.659500,5.837827,1052148
2020-11-23,6.725064,6.837461,6.678232,6.725064,5.895302,1571664
2020-11-24,6.884293,6.884293,6.725064,6.725064,5.895302,1531999
2020-11-25,6.781263,6.921759,6.771896,6.856194,6.010252,2619283
2020-11-26,6.931125,7.118453,6.884293,7.090353,6.215520,4008054
2020-11-27,7.090353,7.090353,6.884293,7.024789,6.158045,4112069
2020-11-30,7.137185,7.333879,7.118453,7.146552,6.264785,4084463
2020-12-01,7.174651,7.268315,6.931125,7.052888,6.182677,2036886
2020-12-02,7.052888,7.174651,6.931125,7.034155,6.166256,2008413
2020-12-03,7.043522,7.155918,6.931125,6.940491,6.084149,1646357
2020-12-04,7.015422,7.015422,6.884293,6.903026,6.051306,1368373
2020-12-07,6.903026,6.931125,6.790629,6.931125,6.075938,1636641
2020-12-08,6.884293,7.539940,6.884293,7.296414,6.396156,9018984
2020-12-09,7.230849,7.408811,7.146552,7.212116,6.322259,3490238
2020-12-10,7.230849,7.333879,7.024789,7.071621,6.199100,2723390
2020-12-11,7.127819,7.127819,6.865560,6.865560,6.018463,1950976
2020-12-14,6.893659,7.474375,6.893659,7.436910,6.519318,6901128
2020-12-15,7.521207,8.130022,7.521207,7.521207,6.593214,14508897
2020-12-16,7.605505,7.998893,7.577406,7.942695,6.962697,6801892
2020-12-17,7.961427,8.101923,7.633604,7.736634,6.782061,4650981
2020-12-18,7.774100,8.504678,7.774100,8.504678,7.455340,15629484
2020-12-21,9.347652,9.347652,9.225889,9.347652,8.194306,6277801
2020-12-22,10.256192,10.256192,10.068864,10.209360,8.949693,22727735
