Date,Open,High,Low,Close,Adj Close,Volume
2020-07-06,8.000000,8.360000,7.900000,8.360000,7.609315,1886241
2020-07-07,8.800000,8.800000,8.360000,8.490000,7.727643,1422517
2020-07-08,8.500000,8.560000,8.000000,8.450000,7.691235,703305
2020-07-09,8.450000,8.590000,8.270000,8.380000,7.627520,337233
2020-07-10,8.380000,8.380000,8.120000,8.230000,7.490988,290076
2020-07-13,8.250000,9.050000,8.250000,9.050000,8.237357,1287773
2020-07-14,9.180000,9.950000,8.710000,9.950000,9.056542,3313106
2020-07-15,10.000000,10.500000,9.600000,9.770000,8.892706,2662461
2020-07-16,9.930000,9.950000,9.540000,9.570000,8.710664,784340
2020-07-17,9.580000,9.800000,9.070000,9.300000,8.464910,837761
2020-07-20,9.320000,9.320000,8.720000,9.100000,8.282868,557059
2020-07-21,9.100000,9.250000,9.050000,9.100000,8.282868,365832
2020-07-22,9.100000,9.400000,8.870000,9.220000,8.392092,588490
2020-07-23,9.190000,9.190000,9.040000,9.140000,8.319276,572222
2020-07-24,9.150000,9.300000,9.000000,9.060000,8.246460,659059
2020-07-27,9.150000,9.340000,9.070000,9.080000,8.264664,341864
2020-07-28,9.150000,9.150000,8.550000,8.870000,8.073521,573870
2020-07-29,8.780000,8.860000,8.500000,8.850000,8.055317,353779
2020-07-30,8.800000,9.000000,8.800000,8.920000,8.119030,209511
2020-07-31,8.920000,9.170000,8.920000,9.040000,8.228254,180453
2020-08-03,9.040000,9.040000,8.910000,9.030000,8.219152,211849
2020-08-04,9.060000,9.060000,8.920000,8.960000,8.155439,163557
2020-08-05,8.980000,9.050000,8.950000,8.990000,8.182745,151165
2020-08-06,9.190000,9.460000,9.040000,9.310000,8.474011,747856
2020-08-07,9.450000,9.450000,9.170000,9.300000,8.464910,274917
2020-08-10,9.340000,9.480000,9.220000,9.240000,8.410295,264800
2020-08-11,9.260000,9.390000,9.190000,9.190000,8.364785,378235
2020-08-12,9.300000,9.330000,9.140000,9.210000,8.382990,280599
