Date,Open,High,Low,Close,Adj Close,Volume
2020-07-06,16.600000,16.700001,16.450001,16.650000,13.445567,55080070
2020-07-07,16.900000,17.000000,16.500000,16.600000,13.405190,80993675
2020-07-08,16.600000,16.799999,16.600000,16.650000,13.445567,34987230
2020-07-09,16.650000,16.750000,16.450001,16.450001,13.284060,40060369
2020-07-10,16.500000,16.650000,16.400000,16.450001,13.284060,41687415
2020-07-13,16.700001,17.049999,16.650000,17.049999,13.768583,106711949
2020-07-14,17.100000,17.100000,16.700001,16.799999,13.566698,89089297
2020-07-15,16.450001,16.500000,16.000000,16.000000,13.570054,93486316
2020-07-16,16.250000,16.799999,16.250000,16.600000,14.078931,139039785
2020-07-17,16.750000,16.799999,16.150000,16.400000,13.909306,70857217
2020-07-20,16.549999,16.750000,16.299999,16.549999,14.036524,106825263
2020-07-21,16.750000,17.500000,16.700001,17.150000,14.545402,210085722
2020-07-22,17.250000,17.500000,17.049999,17.500000,14.842247,116464421
2020-07-23,18.500000,19.250000,18.350000,19.250000,16.326471,401688025
2020-07-24,19.799999,20.299999,19.500000,19.750000,16.750536,546884955
2020-07-27,20.500000,21.700001,20.049999,21.700001,18.404387,488746075
2020-07-28,23.850000,23.850000,21.799999,22.250000,18.870855,599722773
2020-07-29,22.200001,22.650000,21.350000,22.400000,18.998075,307114701
2020-07-30,22.600000,22.750000,21.750000,22.200001,18.828451,249008246
2020-07-31,21.900000,22.500000,21.700001,22.350000,18.955669,137076620
2020-08-03,22.500000,24.400000,22.400000,23.799999,20.185453,366890778
2020-08-04,25.200001,25.799999,24.299999,24.549999,20.821550,316797374
2020-08-05,24.450001,25.600000,24.000000,24.900000,21.118397,274027185
2020-08-06,25.500000,26.850000,25.299999,26.600000,22.560215,366345737
2020-08-07,27.000000,27.400000,25.450001,25.600000,21.712086,334380253
2020-08-10,25.250000,26.200001,24.950001,25.299999,21.457645,187635317
2020-08-11,25.500000,25.900000,25.000000,25.000000,21.203209,144853117
2020-08-12,24.750000,24.799999,23.850000,23.950001,20.312674,207439232
2020-08-13,24.450001,24.700001,23.600000,23.750000,20.143049,153054743
2020-08-14,23.299999,23.750000,23.100000,23.549999,19.973423,120344792
2020-08-17,23.700001,24.500000,23.650000,24.150000,20.482300,139404132
2020-08-18,24.400000,24.600000,23.799999,24.100000,20.439894,139533521
2020-08-19,24.450001,24.450001,23.299999,23.400000,19.846205,114113905
2020-08-20,22.799999,23.100000,21.250000,21.799999,18.489197,202244929
2020-08-21,22.450001,22.750000,21.700001,21.799999,18.489197,159091172
2020-08-24,21.950001,22.700001,21.900000,22.600000,19.167702,120357007
2020-08-25,22.750000,22.799999,22.000000,22.150000,18.786045,102738857
2020-08-26,22.000000,22.350000,21.650000,22.350000,18.955669,73886072
2020-08-27,22.500000,22.650000,21.850000,21.950001,18.616417,84525878
2020-08-28,21.799999,22.200001,21.600000,21.900000,18.574011,69220042
2020-08-31,22.100000,22.150000,21.200001,21.200001,17.980322,125541719
2020-09-01,21.350000,21.950001,21.100000,21.900000,18.574011,77246352
2020-09-02,22.049999,22.100000,21.500000,21.700001,18.404387,57874308
2020-09-03,22.000000,22.150000,21.549999,21.549999,18.277166,87870341
2020-09-04,20.900000,21.450001,20.799999,21.450001,18.192354,73445360
2020-09-07,23.150000,23.549999,23.100000,23.549999,19.973423,97506968
2020-09-08,24.400000,24.600000,22.700001,22.700001,19.252514,316528524
2020-09-09,22.600000,23.950001,22.299999,23.700001,20.100643,206963405
2020-09-10,24.049999,24.150000,23.299999,23.350000,19.803797,143782472
2020-09-11,23.400000,23.500000,22.799999,23.000000,19.506952,78463966
2020-09-14,23.500000,24.100000,23.500000,23.900000,20.270267,142653704
2020-09-15,24.200001,25.799999,24.200001,25.299999,21.457645,379771700
2020-09-16,26.799999,27.200001,25.549999,25.700001,21.796902,306889814
2020-09-17,25.299999,26.000000,25.150000,25.750000,21.839306,137350124
2020-09-18,26.000000,26.400000,25.799999,25.799999,21.881712,136993058
2020-09-21,25.950001,26.100000,25.100000,25.150000,21.330427,120265077
2020-09-22,25.049999,25.500000,24.500000,25.100000,21.288023,122720357
2020-09-23,25.900000,26.100000,25.299999,26.000000,22.051338,195111094
2020-09-24,25.650000,26.500000,25.500000,25.950001,22.008932,283777370
2020-09-25,26.250000,26.299999,24.200001,25.000000,21.203209,209996417
2020-09-28,26.600000,27.500000,26.100000,27.500000,23.323530,407009836
2020-09-29,28.400000,29.299999,27.500000,27.500000,23.323530,543454402
2020-09-30,27.500000,28.850000,26.950001,28.549999,24.214064,426461468
2020-10-05,29.100000,29.799999,28.450001,28.700001,24.341284,313485862
2020-10-06,29.200001,29.299999,28.299999,28.350000,24.044439,226167129
2020-10-07,28.150000,29.600000,28.150000,29.500000,25.019789,317850848
2020-10-08,30.200001,32.450001,29.900000,32.200001,27.309734,644955830
2020-10-12,32.450001,32.750000,31.450001,32.049999,27.182512,351806211
2020-10-13,31.700001,31.900000,30.950001,31.549999,26.758450,214865396
2020-10-14,31.549999,32.650002,31.250000,32.200001,27.309734,265213805
2020-10-15,31.799999,32.799999,31.549999,31.549999,26.758450,228703623
2020-10-16,31.400000,31.750000,30.600000,30.650000,25.995134,225685120
2020-10-19,30.750000,31.600000,30.750000,31.000000,26.291979,136764453
2020-10-20,30.900000,31.299999,30.650000,31.200001,26.461605,104787052
2020-10-21,31.700001,32.650002,31.350000,31.350000,26.588825,352041400
