Date,Open,High,Low,Close,Adj Close,Volume
2020-07-06,5.757658,5.846694,5.713140,5.802176,5.802176,245430
2020-07-07,5.861534,6.173160,5.802176,5.995088,5.995088,389498
2020-07-08,6.039606,6.588661,6.039606,6.588661,6.588661,2793938
2020-07-09,7.241591,7.241591,7.241591,7.241591,7.241591,880655
2020-07-10,7.953879,7.953879,7.953879,7.953879,7.953879,1760647
2020-07-13,8.740363,8.740363,8.740363,8.740363,8.740363,789206
2020-07-14,9.601044,9.601044,9.601044,9.601044,9.601044,1015874
2020-07-15,10.550761,10.550761,8.755203,9.452651,9.452651,5485279
2020-07-16,9.422972,9.422972,8.903596,9.007471,9.007471,1687331
2020-07-17,9.037150,9.274579,8.117111,8.220987,8.220987,1589084
2020-07-20,7.864843,8.206147,7.627414,7.864843,7.864843,893907
2020-07-21,7.864843,8.651327,7.864843,8.651327,8.651327,1211801
2020-07-22,8.888756,9.497169,8.888756,9.348776,9.348776,1386159
2020-07-23,9.541687,9.541687,8.829399,9.274579,9.274579,606473
2020-07-24,9.111346,9.200382,8.710685,8.918435,8.918435,522897
2020-07-27,8.888756,8.903596,8.458416,8.547452,8.547452,425162
2020-07-28,7.805486,8.458416,7.805486,8.072593,8.072593,460862
2020-07-29,7.553217,8.873917,7.553217,8.873917,8.873917,889156
2020-07-30,8.873917,9.749437,8.755203,9.749437,9.749437,2661686
2020-07-31,9.630723,10.328171,9.304258,9.942349,9.942349,1998428
2020-08-03,9.986867,10.936584,9.972027,10.936584,10.936584,3055021
2020-08-04,11.856622,11.856622,10.461725,10.684315,10.684315,2506689
2020-08-05,10.713994,10.728833,10.105581,10.446886,10.446886,1591009
2020-08-06,10.239135,10.387529,9.704919,9.912670,9.912670,1586322
2020-08-07,10.031385,10.565600,9.793955,10.387529,10.387529,1586276
2020-08-10,10.862387,11.426281,10.862387,11.426281,11.426281,2869506
2020-08-11,12.019855,12.568910,11.070138,11.500478,11.500478,7808314
2020-08-12,11.248210,12.643106,11.129495,12.643106,12.643106,6192327
2020-08-13,12.836018,13.904449,12.687624,13.904449,13.904449,5032682
2020-08-14,15.136113,15.284507,14.616737,15.284507,15.284507,4237553
2020-08-17,16.768438,16.768438,16.768438,16.768438,16.768438,1972430
2020-08-18,18.400764,18.400764,15.655490,18.400764,18.400764,10562747
2020-08-19,16.620047,16.620047,16.620047,16.620047,16.620047,1058775
2020-08-20,14.987720,14.987720,14.987720,14.987720,14.987720,631475
2020-08-21,14.809648,14.809648,13.548305,14.453504,14.453504,5120104
2020-08-24,14.097360,14.245754,13.800574,14.230914,14.230914,2386396
2020-08-25,14.557379,15.581293,14.557379,15.581293,15.581293,2229262
2020-08-26,15.581293,15.878080,15.136113,15.284507,15.284507,1505150
