Date,Open,High,Low,Close,Adj Close,Volume
2020-07-06,48.000000,49.900002,47.849998,49.349998,39.486698,2730326
2020-07-07,49.599998,50.299999,48.549999,49.450001,39.566715,2259599
2020-07-08,49.450001,49.700001,49.000000,49.500000,39.606724,1460420
2020-07-09,49.750000,49.750000,49.049999,49.150002,39.326679,1294805
2020-07-10,49.299999,49.700001,48.250000,49.500000,39.606724,2018121
2020-07-13,49.799999,50.700001,49.599998,50.500000,40.406857,2720760
2020-07-14,50.400002,50.400002,48.750000,49.650002,39.726746,2027552
2020-07-15,49.950001,50.700001,49.500000,50.000000,40.006790,1594713
2020-07-16,50.099998,50.299999,49.599998,49.900002,39.926777,1117567
2020-07-17,50.000000,50.599998,49.650002,49.700001,39.766750,658497
2020-07-20,49.700001,50.599998,49.700001,50.400002,40.326843,2250180
2020-07-21,50.700001,52.400002,50.599998,52.400002,41.927116,4323711
2020-07-22,53.200001,53.400002,51.200001,52.500000,42.007126,3860734
2020-07-23,52.500000,52.700001,51.799999,52.000000,41.607059,1180484
2020-07-24,51.900002,51.900002,51.099998,51.500000,41.206993,1219048
2020-07-27,51.400002,52.099998,51.200001,51.400002,41.126976,1296986
2020-07-28,51.900002,52.099998,51.099998,51.099998,40.886940,2031933
2020-07-29,51.200001,51.900002,51.099998,51.599998,41.287006,894073
2020-07-30,51.900002,52.599998,51.299999,52.500000,42.007126,1744884
2020-07-31,52.500000,52.500000,51.799999,52.400002,41.927116,861844
2020-08-03,52.400002,52.799999,51.000000,52.200001,41.767090,2269112
2020-08-04,52.400002,52.400002,51.500000,51.700001,41.367023,910918
2020-08-05,52.000000,52.500000,51.700001,52.400002,41.927116,1900672
2020-08-06,51.900002,52.799999,51.900002,52.400002,41.927116,1465816
2020-08-07,52.599998,52.599998,52.099998,52.599998,42.087139,860703
2020-08-10,52.900002,53.700001,52.900002,53.000000,42.407192,1286755
2020-08-11,53.400002,53.400002,51.700001,51.700001,41.367023,933998
2020-08-12,51.700001,52.099998,50.500000,52.099998,41.687073,1260965
2020-08-13,52.400002,52.500000,51.599998,51.700001,41.367023,473037
2020-08-14,51.400002,52.299999,51.200001,51.900002,41.527042,824097
2020-08-17,51.900002,52.400002,51.599998,52.000000,41.607059,593987
2020-08-18,52.200001,53.299999,51.900002,52.500000,42.007126,1451124
2020-08-19,52.500000,52.900002,51.299999,51.299999,41.046967,1725065
2020-08-20,51.099998,51.900002,50.500000,51.799999,41.447033,2679129
2020-08-21,51.400002,55.099998,51.400002,54.000000,43.207333,5258723
2020-08-24,54.200001,55.200001,52.799999,52.799999,42.247169,4841985
2020-08-25,52.599998,53.799999,52.599998,52.900002,42.327183,3455599
2020-08-26,51.500000,51.700001,50.599998,51.000000,42.661785,3998994
2020-08-27,51.200001,51.900002,50.599998,50.700001,42.410831,1854451
2020-08-28,50.700001,50.799999,49.650002,50.299999,42.076229,1395581
2020-08-31,50.799999,50.900002,50.000000,50.200001,41.992580,1159697
2020-09-01,50.099998,50.400002,49.700001,49.849998,41.699799,1075660
2020-09-02,50.700001,51.200001,50.299999,50.799999,42.494480,1246791
2020-09-03,51.599998,53.599998,51.599998,52.000000,43.498287,4683012
2020-09-04,50.799999,51.500000,50.599998,51.299999,42.912735,1595174
2020-09-07,51.299999,52.799999,50.799999,51.299999,42.912735,1636323
2020-09-08,52.299999,53.000000,51.299999,52.799999,44.167492,2953778
2020-09-09,51.500000,52.299999,50.500000,51.599998,43.163685,2271833
2020-09-10,52.200001,52.200001,50.900002,51.299999,42.912735,1616666
2020-09-11,51.299999,51.299999,50.200001,51.000000,42.661785,1419996
2020-09-14,51.200001,51.599998,50.599998,51.200001,42.829086,699386
2020-09-15,51.500000,51.599998,51.099998,51.299999,42.912735,596775
2020-09-16,51.500000,51.900002,51.400002,51.700001,43.247337,784878
2020-09-17,51.900002,52.500000,51.700001,51.900002,43.414639,1326963
2020-09-18,52.299999,52.299999,51.599998,51.900002,43.414639,799650
2020-09-21,51.500000,51.599998,50.700001,50.700001,42.410831,1048164
2020-09-22,50.700001,50.700001,49.799999,50.099998,41.908928,670783
2020-09-23,50.200001,50.400002,50.000000,50.200001,41.992580,687309
2020-09-24,49.849998,49.849998,49.049999,49.049999,41.030598,1013324
2020-09-25,49.049999,49.650002,48.200001,48.650002,40.695995,1142812
2020-09-28,49.000000,49.349998,48.750000,49.049999,41.030598,249000
2020-09-29,49.650002,50.400002,48.799999,48.799999,40.821472,1496942
2020-09-30,48.799999,49.299999,48.500000,49.099998,41.072426,336773
2020-10-05,49.299999,49.750000,49.049999,49.400002,41.323376,659091
2020-10-06,49.849998,50.200001,49.599998,50.099998,41.908928,471547
2020-10-07,50.099998,50.599998,49.750000,50.599998,42.327183,360283
2020-10-08,51.099998,51.099998,50.400002,51.000000,42.661785,1139509
2020-10-12,50.900002,51.000000,49.700001,50.700001,42.410831,1619728
2020-10-13,50.799999,50.799999,49.650002,49.799999,41.657978,906083
2020-10-14,49.799999,50.200001,49.650002,49.950001,41.783451,678700
2020-10-15,50.099998,50.900002,49.950001,50.299999,42.076229,1133374
2020-10-16,50.299999,50.299999,49.599998,49.799999,41.657978,717008
2020-10-19,50.099998,50.599998,49.750000,49.900002,41.741631,810224
2020-10-20,50.200001,50.700001,49.950001,50.599998,42.327183,946382
2020-10-21,50.900002,50.900002,49.900002,50.099998,41.908928,680169
2020-10-22,50.000000,50.400002,49.849998,49.950001,41.783451,775034
2020-10-23,50.200001,50.799999,50.000000,50.500000,42.243534,1194554
