Date,Open,High,Low,Close,Adj Close,Volume
2020-07-06,22.000000,24.000000,21.900000,24.000000,21.109751,3801682
2020-07-07,25.299999,25.400000,22.799999,23.000000,20.230179,2917148
2020-07-08,23.600000,25.000000,23.250000,24.299999,21.373623,2333184
2020-07-09,24.299999,24.500000,23.250000,24.250000,21.329645,1911900
2020-07-10,24.250000,24.299999,22.850000,22.900000,20.142221,1214343
2020-07-13,23.000000,23.350000,22.400000,22.549999,19.834370,753484
2020-07-14,22.549999,22.549999,21.950001,22.200001,19.526520,608448
2020-07-15,22.900000,22.900000,22.049999,22.049999,19.394581,452500
2020-07-16,22.049999,22.450001,21.799999,22.400000,19.702435,394503
2020-07-17,22.750000,23.100000,22.150000,22.450001,19.746412,923450
2020-07-20,23.100000,23.950001,22.500000,23.549999,20.713943,2578477
2020-07-21,23.650000,23.950001,22.950001,23.299999,20.494049,1329224
2020-07-22,23.700001,23.700001,23.049999,23.200001,20.406092,398100
2020-07-23,23.400000,24.200001,23.100000,23.799999,20.933834,1122141
2020-07-24,23.750000,23.850000,22.299999,22.650000,19.922325,1103682
2020-07-27,22.799999,23.200001,21.049999,21.200001,18.646946,1800612
2020-07-28,21.750000,21.900000,20.299999,20.299999,17.855331,936260
2020-07-29,20.400000,21.000000,20.299999,20.950001,18.427055,387766
2020-07-30,21.799999,21.799999,20.900000,21.350000,18.778883,378285
2020-07-31,21.450001,21.650000,21.200001,21.500000,18.910818,211300
2020-08-03,21.500000,21.650000,21.350000,21.450001,18.866840,241543
2020-08-04,21.600000,22.100000,21.600000,21.650000,19.042753,361633
2020-08-05,21.650000,21.950001,21.650000,21.799999,19.174688,244622
2020-08-06,22.000000,22.200001,21.700001,21.900000,19.262646,347910
2020-08-07,21.950001,22.299999,21.400000,21.799999,19.174688,555154
2020-08-10,22.000000,22.000000,21.700001,21.799999,19.174688,315490
2020-08-11,21.799999,22.299999,21.299999,21.400000,18.822861,5522255
2020-08-12,20.500000,20.549999,19.950001,20.100000,18.387402,584039
2020-08-13,20.400000,20.400000,19.799999,19.799999,18.112965,349767
2020-08-14,19.799999,20.250000,19.799999,20.150000,18.433142,325162
2020-08-17,20.400000,21.000000,20.299999,20.850000,19.073500,942348
2020-08-18,21.000000,21.000000,20.549999,20.600000,18.844801,187161
2020-08-19,20.700001,20.700001,19.950001,20.150000,18.433142,312333
2020-08-20,20.100000,20.100000,18.500000,18.700001,17.106688,672361
2020-08-21,19.049999,19.600000,19.049999,19.450001,17.792786,453491
2020-08-24,19.450001,19.750000,19.450001,19.500000,17.838526,172008
2020-08-25,19.600000,20.150000,19.600000,19.900000,18.204443,174139
2020-08-26,20.299999,20.700001,20.100000,20.500000,18.753319,307001
2020-08-27,20.549999,20.850000,20.350000,20.500000,18.753319,336161
2020-08-28,20.700001,20.700001,20.299999,20.450001,18.707582,87046
2020-08-31,20.650000,20.650000,20.250000,20.299999,18.570362,130296
2020-09-01,20.299999,20.500000,20.150000,20.350000,18.616102,174562
2020-09-02,20.500000,20.900000,20.500000,20.750000,18.982021,290448
2020-09-03,21.000000,21.350000,20.799999,20.900000,19.119240,393411
2020-09-04,20.549999,20.850000,20.400000,20.700001,18.936279,175161
2020-09-07,20.650000,21.350000,20.650000,20.750000,18.982021,194002
2020-09-08,20.799999,20.799999,20.500000,20.600000,18.844801,125217
2020-09-09,20.500000,20.500000,20.150000,20.450001,18.707582,180001
2020-09-10,20.650000,20.650000,20.250000,20.350000,18.616102,94502
2020-09-11,20.350000,20.350000,19.650000,19.850000,18.158703,213082
2020-09-14,19.850000,20.400000,19.850000,20.299999,18.570362,119859
2020-09-15,20.450001,21.150000,20.400000,20.400000,18.661842,457013
2020-09-16,20.549999,20.650000,20.299999,20.400000,18.661842,127020
2020-09-17,20.400000,20.450001,20.150000,20.150000,18.433142,160104
2020-09-18,20.100000,20.200001,20.100000,20.150000,18.433142,183221
2020-09-21,20.150000,20.200001,19.900000,19.950001,18.250183,169248
2020-09-22,19.900000,20.450001,19.650000,20.049999,18.341661,669000
2020-09-23,20.049999,20.200001,19.700001,19.750000,18.067225,159103
2020-09-24,19.750000,19.750000,19.200001,19.350000,17.701305,326100
2020-09-25,19.350000,19.500000,18.350000,18.700001,17.106688,340000
2020-09-28,19.000000,19.200001,18.750000,19.049999,17.426867,204406
2020-09-29,19.500000,19.500000,19.049999,19.150000,17.518347,134020
2020-09-30,19.400000,19.450001,19.150000,19.299999,17.655565,119001
2020-10-05,19.250000,19.600000,19.250000,19.400000,17.747046,131540
2020-10-06,19.700001,19.950001,19.500000,19.799999,18.112965,201503
2020-10-07,19.850000,21.350000,19.600000,20.299999,18.570362,1161593
2020-10-08,20.600000,22.299999,20.150000,22.299999,20.399956,2980391
2020-10-12,22.900000,22.900000,21.500000,21.600000,19.759598,2221565
2020-10-13,21.549999,21.750000,20.900000,21.450001,19.622377,810821
2020-10-14,21.750000,22.900000,21.450001,22.100000,20.216995,1383254
2020-10-15,22.299999,22.450001,21.700001,22.000000,20.125515,609140
2020-10-16,21.950001,22.049999,21.299999,21.600000,19.759598,488020
2020-10-19,21.900000,21.900000,21.450001,21.549999,19.713858,249165
2020-10-20,21.500000,21.850000,21.450001,21.450001,19.622377,288266
2020-10-21,21.850000,23.150000,21.700001,22.650000,20.720131,3096602
2020-10-22,22.299999,22.450001,21.750000,21.900000,20.034035,920333
2020-10-23,22.000000,22.450001,21.900000,22.150000,20.262735,551378
2020-10-26,22.200001,22.450001,21.900000,22.000000,20.125515,349041
2020-10-27,21.900000,22.400000,21.799999,21.900000,20.034035,298500
2020-10-28,22.000000,22.450001,21.799999,21.850000,19.988295,299365
2020-10-29,21.500000,21.600000,20.950001,21.500000,19.668118,406001
2020-10-30,21.500000,21.850000,21.049999,21.049999,19.256458,268000
2020-11-02,21.049999,21.299999,20.750000,21.000000,19.210720,189250
2020-11-03,21.049999,22.400000,21.049999,21.450001,19.622377,5585466
2020-11-04,21.200001,22.049999,21.200001,22.000000,20.125515,744148
2020-11-05,22.000000,22.150000,21.650000,21.799999,19.942554,226001
2020-11-06,21.799999,22.000000,21.700001,21.750000,19.896818,134001
2020-11-09,22.100000,22.150000,21.700001,22.000000,20.125515,337119
2020-11-10,22.100000,22.100000,21.600000,21.750000,19.896818,310635
2020-11-11,21.750000,21.950001,21.650000,21.700001,19.851076,364000
2020-11-12,21.750000,21.900000,20.850000,20.950001,19.164982,432001
2020-11-13,21.000000,21.049999,20.750000,21.000000,19.210720,179152
2020-11-16,21.100000,21.299999,20.900000,20.900000,19.119240,190082
2020-11-17,21.100000,21.250000,20.950001,21.150000,19.347939,189059
2020-11-18,21.400000,21.400000,21.049999,21.250000,19.439417,145249
2020-11-19,21.200001,21.450001,21.150000,21.150000,19.347939,239182
2020-11-20,21.250000,22.150000,21.150000,21.850000,19.988295,875549
2020-11-23,22.000000,24.000000,21.750000,24.000000,21.955107,10719940
2020-11-24,24.500000,24.600000,22.600000,22.900000,20.948833,4575903
2020-11-25,23.250000,23.250000,22.500000,22.700001,20.765873,1036284
2020-11-26,22.750000,23.299999,22.750000,23.000000,21.040312,744811
2020-11-27,23.150000,23.400000,22.850000,23.299999,21.314751,744040
2020-11-30,23.450001,24.500000,23.299999,23.299999,21.314751,1960161
2020-12-01,23.400000,23.549999,22.799999,23.049999,21.086050,837003
2020-12-02,23.350000,23.549999,23.000000,23.000000,21.040312,795553
2020-12-03,23.100000,23.750000,23.100000,23.150000,21.177530,1029021
2020-12-04,23.549999,25.150000,23.500000,24.549999,22.458244,5995128
2020-12-07,24.700001,26.200001,24.049999,24.250000,22.183807,8921344
2020-12-08,24.250000,24.400000,23.500000,23.600000,21.589190,1611402
2020-12-09,23.650000,24.150000,23.250000,24.049999,22.000847,1204323
2020-12-10,24.000000,24.000000,23.100000,23.400000,21.406229,1114211
2020-12-11,23.299999,23.600000,22.350000,22.650000,20.720131,1017434
2020-12-14,22.799999,24.750000,22.350000,24.200001,22.138067,2861808
2020-12-15,24.150000,24.200001,22.799999,22.850000,20.903091,1612391
2020-12-16,23.150000,24.650000,23.049999,24.500000,22.412504,3956870
2020-12-17,24.000000,24.299999,23.549999,23.799999,21.772146,1568104
2020-12-18,24.200001,24.450001,23.049999,23.100000,21.131790,2012838
2020-12-21,23.049999,23.299999,22.500000,22.950001,20.994574,721698
2020-12-22,22.799999,23.250000,22.299999,22.350000,20.445696,634522
2020-12-23,22.450001,22.850000,21.950001,22.500000,20.582912,732074
2020-12-24,22.650000,23.100000,22.450001,22.450001,20.537172,1147082
2020-12-25,22.750000,22.900000,22.350000,22.400000,20.491434,670062
2020-12-28,23.049999,24.200001,22.900000,23.299999,21.314751,3877476
2020-12-29,23.350000,23.500000,22.650000,22.900000,20.948833,1294690
2020-12-30,23.000000,23.650000,22.850000,23.250000,21.269009,878252
2020-12-31,23.450001,23.650000,23.000000,23.049999,21.086050,674202
2021-01-04,23.049999,23.600000,22.700001,23.250000,21.269009,1126656
2021-01-05,23.049999,23.500000,22.850000,22.950001,20.994574,578924
2021-01-06,23.100000,23.450001,22.000000,22.250000,20.354214,1105719
2021-01-07,22.450001,22.850000,22.200001,22.250000,20.354214,1087549
